review,symbol_puntuation_removal,case_folding,tokenized,normalized,stopwords_removed,stemmed,final_text
"fasilitasnya perlu diperbaiki, akan lebih baik ditambah dengan sandal hotel. penyediaan extra bed kurang memadai. jaringan wifi akan lebih baik dipasang setiap sudut agar jaringan internetnya kuat di setiap kamar. pelayanan hotel sudah baik, tapi akan lebih baik setiap karyawan hotel lebih ramah terhadap tamu",fasilitasnya perlu diperbaiki akan lebih baik ditambah dengan sandal hotel penyediaan extra bed kurang memadai jaringan wifi akan lebih baik dipasang setiap sudut agar jaringan internetnya kuat di setiap kamar pelayanan hotel sudah baik tapi akan lebih baik setiap karyawan hotel lebih ramah terhadap tamu,fasilitasnya perlu diperbaiki akan lebih baik ditambah dengan sandal hotel penyediaan extra bed kurang memadai jaringan wifi akan lebih baik dipasang setiap sudut agar jaringan internetnya kuat di setiap kamar pelayanan hotel sudah baik tapi akan lebih baik setiap karyawan hotel lebih ramah terhadap tamu,"['fasilitasnya', 'perlu', 'diperbaiki', 'akan', 'lebih', 'baik', 'ditambah', 'dengan', 'sandal', 'hotel', 'penyediaan', 'extra', 'bed', 'kurang', 'memadai', 'jaringan', 'wifi', 'akan', 'lebih', 'baik', 'dipasang', 'setiap', 'sudut', 'agar', 'jaringan', 'internetnya', 'kuat', 'di', 'setiap', 'kamar', 'pelayanan', 'hotel', 'sudah', 'baik', 'tapi', 'akan', 'lebih', 'baik', 'setiap', 'karyawan', 'hotel', 'lebih', 'ramah', 'terhadap', 'tamu']","['fasilitasnya', 'perlu', 'diperbaiki', 'akan', 'lebih', 'baik', 'ditambah', 'dengan', 'sandal', 'hotel', 'penyediaan', 'extra', 'bed', 'kurang', 'memadai', 'jaringan', 'wifi', 'akan', 'lebih', 'baik', 'dipasang', 'setiap', 'sudut', 'agar', 'jaringan', 'internetnya', 'kuat', 'di', 'setiap', 'kamar', 'pelayanan', 'hotel', 'sudah', 'baik', 'tapi', 'akan', 'lebih', 'baik', 'setiap', 'karyawan', 'hotel', 'lebih', 'ramah', 'terhadap', 'tamu']","['fasilitasnya', 'diperbaiki', 'ditambah', 'sandal', 'hotel', 'penyediaan', 'extra', 'bed', 'memadai', 'jaringan', 'wifi', 'dipasang', 'sudut', 'jaringan', 'internetnya', 'kuat', 'kamar', 'pelayanan', 'hotel', 'karyawan', 'hotel', 'ramah', 'tamu']","['fasilitas', 'baik', 'tambah', 'sandal', 'hotel', 'sedia', 'extra', 'bed', 'pada', 'jaring', 'wifi', 'pasang', 'sudut', 'jaring', 'internetnya', 'kuat', 'kamar', 'layan', 'hotel', 'karyawan', 'hotel', 'ramah', 'tamu']",fasilitas baik tambah sandal hotel sedia extra bed pada jaring wifi pasang sudut jaring internetnya kuat kamar layan hotel karyawan hotel ramah tamu
"Ac nya prlu ditingkatkan dan air panasny jg prlu ditambah, selebihnya sudah bagus",Ac nya prlu ditingkatkan dan air panasny jg prlu ditambah selebihnya sudah bagus,ac nya prlu ditingkatkan dan air panasny jg prlu ditambah selebihnya sudah bagus,"['ac', 'nya', 'prlu', 'ditingkatkan', 'dan', 'air', 'panasny', 'jg', 'prlu', 'ditambah', 'selebihnya', 'sudah', 'bagus']","['ac', 'nya', 'prlu', 'ditingkatkan', 'dan', 'air', 'panasny', 'juga', 'prlu', 'ditambah', 'selebihnya', 'sudah', 'bagus']","['ac', 'nya', 'prlu', 'ditingkatkan', 'air', 'panasny', 'prlu', 'ditambah', 'selebihnya', 'bagus']","['ac', 'nya', 'prlu', 'tingkat', 'air', 'panasny', 'prlu', 'tambah', 'lebih', 'bagus']",ac nya prlu tingkat air panasny prlu tambah lebih bagus
"Pelayanan mantap, suasana nya nyaman, bisa bermain dengan keluarga dan anak, untuk kedepannya tolong lebih bersih lagi ruangan kamarnya, termasuk kamar mandi nya... ",Pelayanan mantap suasana nya nyaman bisa bermain dengan keluarga dan anak untuk kedepannya tolong lebih bersih lagi ruangan kamarnya termasuk kamar mandi nya,pelayanan mantap suasana nya nyaman bisa bermain dengan keluarga dan anak untuk kedepannya tolong lebih bersih lagi ruangan kamarnya termasuk kamar mandi nya,"['pelayanan', 'mantap', 'suasana', 'nya', 'nyaman', 'bisa', 'bermain', 'dengan', 'keluarga', 'dan', 'anak', 'untuk', 'kedepannya', 'tolong', 'lebih', 'bersih', 'lagi', 'ruangan', 'kamarnya', 'termasuk', 'kamar', 'mandi', 'nya']","['pelayanan', 'mantap', 'suasana', 'nya', 'nyaman', 'bisa', 'bermain', 'dengan', 'keluarga', 'dan', 'anak', 'untuk', 'kedepannya', 'tolong', 'lebih', 'bersih', 'lagi', 'ruangan', 'kamarnya', 'termasuk', 'kamar', 'mandi', 'nya']","['pelayanan', 'mantap', 'suasana', 'nya', 'nyaman', 'bermain', 'keluarga', 'anak', 'kedepannya', 'tolong', 'bersih', 'ruangan', 'kamarnya', 'kamar', 'mandi', 'nya']","['layan', 'mantap', 'suasana', 'nya', 'nyaman', 'main', 'keluarga', 'anak', 'depan', 'tolong', 'bersih', 'ruang', 'kamar', 'kamar', 'mandi', 'nya']",layan mantap suasana nya nyaman main keluarga anak depan tolong bersih ruang kamar kamar mandi nya
"pelayanan kurang, kamar kotor, servis tidak memuaskan.",pelayanan kurang kamar kotor servis tidak memuaskan,pelayanan kurang kamar kotor servis tidak memuaskan,"['pelayanan', 'kurang', 'kamar', 'kotor', 'servis', 'tidak', 'memuaskan']","['pelayanan', 'kurang', 'kamar', 'kotor', 'servis', 'tidak', 'memuaskan']","['pelayanan', 'kamar', 'kotor', 'servis', 'memuaskan']","['layan', 'kamar', 'kotor', 'servis', 'muas']",layan kamar kotor servis muas
"Kamarnya wangi karbol yg sangat menyengat, saya curiga freon yang bocor. Tolong diperhatikan agar tidak sampai ada yg keracunan. Terimakasih #101",Kamarnya wangi karbol yg sangat menyengat saya curiga freon yang bocor Tolong diperhatikan agar tidak sampai ada yg keracunan Terimakasih,kamarnya wangi karbol yg sangat menyengat saya curiga freon yang bocor tolong diperhatikan agar tidak sampai ada yg keracunan terimakasih,"['kamarnya', 'wangi', 'karbol', 'yg', 'sangat', 'menyengat', 'saya', 'curiga', 'freon', 'yang', 'bocor', 'tolong', 'diperhatikan', 'agar', 'tidak', 'sampai', 'ada', 'yg', 'keracunan', 'terimakasih']","['kamarnya', 'wangi', 'karbol', 'yg', 'sangat', 'menyengat', 'saya', 'curiga', 'freon', 'yang', 'bocor', 'tolong', 'diperhatikan', 'agar', 'tidak', 'sampai', 'ada', 'yg', 'keracunan', 'terimakasih']","['kamarnya', 'wangi', 'karbol', 'menyengat', 'curiga', 'freon', 'bocor', 'tolong', 'diperhatikan', 'keracunan', 'terimakasih']","['kamar', 'wangi', 'karbol', 'sengat', 'curiga', 'freon', 'bocor', 'tolong', 'perhati', 'racun', 'terimakasih']",kamar wangi karbol sengat curiga freon bocor tolong perhati racun terimakasih
"Kondisi toilet kurang bersih, closet rusak dan lingkungan berisik",Kondisi toilet kurang bersih closet rusak dan lingkungan berisik,kondisi toilet kurang bersih closet rusak dan lingkungan berisik,"['kondisi', 'toilet', 'kurang', 'bersih', 'closet', 'rusak', 'dan', 'lingkungan', 'berisik']","['kondisi', 'toilet', 'kurang', 'bersih', 'closet', 'rusak', 'dan', 'lingkungan', 'berisik']","['kondisi', 'toilet', 'bersih', 'closet', 'rusak', 'lingkungan', 'berisik']","['kondisi', 'toilet', 'bersih', 'closet', 'rusak', 'lingkung', 'berisik']",kondisi toilet bersih closet rusak lingkung berisik
plyanan baik staf ny rmah smua. tpi lantai kmr mandinya trgenang.slebihnya bgus smua,plyanan baik staf ny rmah smua tpi lantai kmr mandinya trgenang slebihnya bgus smua,plyanan baik staf ny rmah smua tpi lantai kmr mandinya trgenang slebihnya bgus smua,"['plyanan', 'baik', 'staf', 'ny', 'rmah', 'smua', 'tpi', 'lantai', 'kmr', 'mandinya', 'trgenang', 'slebihnya', 'bgus', 'smua']","['plyanan', 'baik', 'staf', 'ny', 'rmah', 'smua', 'tpi', 'lantai', 'kamar', 'mandinya', 'trgenang', 'slebihnya', 'bgus', 'smua']","['plyanan', 'staf', 'ny', 'rmah', 'smua', 'tpi', 'lantai', 'kamar', 'mandinya', 'trgenang', 'slebihnya', 'bgus', 'smua']","['plyanan', 'staf', 'ny', 'rmah', 'smua', 'tpi', 'lantai', 'kamar', 'mandi', 'trgenang', 'slebihnya', 'bgus', 'smua']",plyanan staf ny rmah smua tpi lantai kamar mandi trgenang slebihnya bgus smua
"Tempat bersih, set mandi lengkap, dapat snack jg, sayang bau rokok dan lingkungan sangat sepi. tapi cukup strategis, kemana mana dekat.",Tempat bersih set mandi lengkap dapat snack jg sayang bau rokok dan lingkungan sangat sepi tapi cukup strategis kemana mana dekat,tempat bersih set mandi lengkap dapat snack jg sayang bau rokok dan lingkungan sangat sepi tapi cukup strategis kemana mana dekat,"['tempat', 'bersih', 'set', 'mandi', 'lengkap', 'dapat', 'snack', 'jg', 'sayang', 'bau', 'rokok', 'dan', 'lingkungan', 'sangat', 'sepi', 'tapi', 'cukup', 'strategis', 'kemana', 'mana', 'dekat']","['tempat', 'bersih', 'set', 'mandi', 'lengkap', 'dapat', 'snack', 'juga', 'sayang', 'bau', 'rokok', 'dan', 'lingkungan', 'sangat', 'sepi', 'tapi', 'cukup', 'strategis', 'kemana', 'mana', 'dekat']","['bersih', 'set', 'mandi', 'lengkap', 'snack', 'sayang', 'bau', 'rokok', 'lingkungan', 'sepi', 'strategis', 'kemana']","['bersih', 'set', 'mandi', 'lengkap', 'snack', 'sayang', 'bau', 'rokok', 'lingkung', 'sepi', 'strategis', 'mana']",bersih set mandi lengkap snack sayang bau rokok lingkung sepi strategis mana
lumayanlah...tapi gak dpt snack sama toilet kit ,lumayanlah tapi gak dpt snack sama toilet kit,lumayanlah tapi gak dpt snack sama toilet kit,"['lumayanlah', 'tapi', 'gak', 'dpt', 'snack', 'sama', 'toilet', 'kit']","['lumayanlah', 'tapi', 'tidak', 'dpt', 'snack', 'sama', 'toilet', 'kit']","['lumayanlah', 'dpt', 'snack', 'toilet', 'kit']","['lumayan', 'dpt', 'snack', 'toilet', 'kit']",lumayan dpt snack toilet kit
"Nyaman, baik, bersih, wifinya gak sampe kamar ",Nyaman baik bersih wifinya gak sampe kamar,nyaman baik bersih wifinya gak sampe kamar,"['nyaman', 'baik', 'bersih', 'wifinya', 'gak', 'sampe', 'kamar']","['nyaman', 'baik', 'bersih', 'wifinya', 'tidak', 'sampe', 'kamar']","['nyaman', 'bersih', 'wifinya', 'sampe', 'kamar']","['nyaman', 'bersih', 'wifinya', 'sampe', 'kamar']",nyaman bersih wifinya sampe kamar
"Kurang bagus, AC tidak nyala, showernya kurang bagus, kurang bersih",Kurang bagus AC tidak nyala showernya kurang bagus kurang bersih,kurang bagus ac tidak nyala showernya kurang bagus kurang bersih,"['kurang', 'bagus', 'ac', 'tidak', 'nyala', 'showernya', 'kurang', 'bagus', 'kurang', 'bersih']","['kurang', 'bagus', 'ac', 'tidak', 'nyala', 'showernya', 'kurang', 'bagus', 'kurang', 'bersih']","['bagus', 'ac', 'nyala', 'showernya', 'bagus', 'bersih']","['bagus', 'ac', 'nyala', 'showernya', 'bagus', 'bersih']",bagus ac nyala showernya bagus bersih
"Kamar lumayan bersih, meski ada beberapa berdebu tapi masi cukup nyaman. Air hangat, ac dingin, wifi cepat, karyawan sedikit kurang ramah, menginap beberapa hari, harusnya setiap hari diganti snack atau mnawarkan handuk baru",Kamar lumayan bersih meski ada beberapa berdebu tapi masi cukup nyaman Air hangat ac dingin wifi cepat karyawan sedikit kurang ramah menginap beberapa hari harusnya setiap hari diganti snack atau mnawarkan handuk baru,kamar lumayan bersih meski ada beberapa berdebu tapi masi cukup nyaman air hangat ac dingin wifi cepat karyawan sedikit kurang ramah menginap beberapa hari harusnya setiap hari diganti snack atau mnawarkan handuk baru,"['kamar', 'lumayan', 'bersih', 'meski', 'ada', 'beberapa', 'berdebu', 'tapi', 'masi', 'cukup', 'nyaman', 'air', 'hangat', 'ac', 'dingin', 'wifi', 'cepat', 'karyawan', 'sedikit', 'kurang', 'ramah', 'menginap', 'beberapa', 'hari', 'harusnya', 'setiap', 'hari', 'diganti', 'snack', 'atau', 'mnawarkan', 'handuk', 'baru']","['kamar', 'lumayan', 'bersih', 'meski', 'ada', 'beberapa', 'berdebu', 'tapi', 'masi', 'cukup', 'nyaman', 'air', 'hangat', 'ac', 'dingin', 'wifi', 'cepat', 'karyawan', 'sedikit', 'kurang', 'ramah', 'menginap', 'beberapa', 'hari', 'harusnya', 'setiap', 'hari', 'diganti', 'snack', 'atau', 'mnawarkan', 'handuk', 'baru']","['kamar', 'lumayan', 'bersih', 'berdebu', 'masi', 'nyaman', 'air', 'hangat', 'ac', 'dingin', 'wifi', 'cepat', 'karyawan', 'ramah', 'menginap', 'diganti', 'snack', 'mnawarkan', 'handuk']","['kamar', 'lumayan', 'bersih', 'debu', 'mas', 'nyaman', 'air', 'hangat', 'ac', 'dingin', 'wifi', 'cepat', 'karyawan', 'ramah', 'inap', 'ganti', 'snack', 'mnawarkan', 'handuk']",kamar lumayan bersih debu mas nyaman air hangat ac dingin wifi cepat karyawan ramah inap ganti snack mnawarkan handuk
Kasurnya keras. AC dingin Suasana nyaman. TV banyak semutnya. Lokasi di pinggir jalan besar jadi aksesnya mudah.,Kasurnya keras AC dingin Suasana nyaman TV banyak semutnya Lokasi di pinggir jalan besar jadi aksesnya mudah,kasurnya keras ac dingin suasana nyaman tv banyak semutnya lokasi di pinggir jalan besar jadi aksesnya mudah,"['kasurnya', 'keras', 'ac', 'dingin', 'suasana', 'nyaman', 'tv', 'banyak', 'semutnya', 'lokasi', 'di', 'pinggir', 'jalan', 'besar', 'jadi', 'aksesnya', 'mudah']","['kasurnya', 'keras', 'ac', 'dingin', 'suasana', 'nyaman', 'tv', 'banyak', 'semutnya', 'lokasi', 'di', 'pinggir', 'jalan', 'besar', 'jadi', 'aksesnya', 'mudah']","['kasurnya', 'keras', 'ac', 'dingin', 'suasana', 'nyaman', 'tv', 'semutnya', 'lokasi', 'pinggir', 'jalan', 'aksesnya', 'mudah']","['kasur', 'keras', 'ac', 'dingin', 'suasana', 'nyaman', 'tv', 'semut', 'lokasi', 'pinggir', 'jalan', 'akses', 'mudah']",kasur keras ac dingin suasana nyaman tv semut lokasi pinggir jalan akses mudah
"Pelayanannya baik, namun jaringan wifi-nya kurang baik.",Pelayanannya baik namun jaringan wifi nya kurang baik,pelayanannya baik namun jaringan wifi nya kurang baik,"['pelayanannya', 'baik', 'namun', 'jaringan', 'wifi', 'nya', 'kurang', 'baik']","['pelayanannya', 'baik', 'namun', 'jaringan', 'wifi', 'nya', 'kurang', 'baik']","['pelayanannya', 'jaringan', 'wifi', 'nya']","['layan', 'jaring', 'wifi', 'nya']",layan jaring wifi nya
"kamar kecil, air sempat mati, byk semut dan di bwh bed byk kotoran/sampah.",kamar kecil air sempat mati byk semut dan di bwh bed byk kotoran sampah,kamar kecil air sempat mati byk semut dan di bwh bed byk kotoran sampah,"['kamar', 'kecil', 'air', 'sempat', 'mati', 'byk', 'semut', 'dan', 'di', 'bwh', 'bed', 'byk', 'kotoran', 'sampah']","['kamar', 'kecil', 'air', 'sempat', 'mati', 'byk', 'semut', 'dan', 'di', 'bwh', 'bed', 'byk', 'kotoran', 'sampah']","['kamar', 'air', 'mati', 'byk', 'semut', 'bwh', 'bed', 'byk', 'kotoran', 'sampah']","['kamar', 'air', 'mati', 'byk', 'semut', 'bwh', 'bed', 'byk', 'kotor', 'sampah']",kamar air mati byk semut bwh bed byk kotor sampah
"tidak ada yg berkesan.. AC kurang dingin Snack box kosong Kunci kamar tidak berfungsi, harus memakai kunci master dari resepsionis Tissu toilet habis Air panas kamar mandi tidak berfungsi",tidak ada yg berkesan AC kurang dingin Snack box kosong Kunci kamar tidak berfungsi harus memakai kunci master dari resepsionis Tissu toilet habis Air panas kamar mandi tidak berfungsi,tidak ada yg berkesan ac kurang dingin snack box kosong kunci kamar tidak berfungsi harus memakai kunci master dari resepsionis tissu toilet habis air panas kamar mandi tidak berfungsi,"['tidak', 'ada', 'yg', 'berkesan', 'ac', 'kurang', 'dingin', 'snack', 'box', 'kosong', 'kunci', 'kamar', 'tidak', 'berfungsi', 'harus', 'memakai', 'kunci', 'master', 'dari', 'resepsionis', 'tissu', 'toilet', 'habis', 'air', 'panas', 'kamar', 'mandi', 'tidak', 'berfungsi']","['tidak', 'ada', 'yg', 'berkesan', 'ac', 'kurang', 'dingin', 'snack', 'box', 'kosong', 'kunci', 'kamar', 'tidak', 'berfungsi', 'harus', 'memakai', 'kunci', 'master', 'dari', 'resepsionis', 'tissu', 'toilet', 'habis', 'air', 'panas', 'kamar', 'mandi', 'tidak', 'berfungsi']","['berkesan', 'ac', 'dingin', 'snack', 'box', 'kosong', 'kunci', 'kamar', 'berfungsi', 'memakai', 'kunci', 'master', 'resepsionis', 'tissu', 'toilet', 'habis', 'air', 'panas', 'kamar', 'mandi', 'berfungsi']","['kesan', 'ac', 'dingin', 'snack', 'box', 'kosong', 'kunci', 'kamar', 'fungsi', 'pakai', 'kunci', 'master', 'resepsionis', 'tissu', 'toilet', 'habis', 'air', 'panas', 'kamar', 'mandi', 'fungsi']",kesan ac dingin snack box kosong kunci kamar fungsi pakai kunci master resepsionis tissu toilet habis air panas kamar mandi fungsi
receptionis gak ramah sama sekali....mamyun2 dan gak mantap lah pokok nya...,receptionis gak ramah sama sekali mamyun dan gak mantap lah pokok nya,receptionis gak ramah sama sekali mamyun dan gak mantap lah pokok nya,"['receptionis', 'gak', 'ramah', 'sama', 'sekali', 'mamyun', 'dan', 'gak', 'mantap', 'lah', 'pokok', 'nya']","['receptionis', 'tidak', 'ramah', 'sama', 'sekali', 'mamyun', 'dan', 'tidak', 'mantap', 'lah', 'pokok', 'nya']","['receptionis', 'ramah', 'mamyun', 'mantap', 'pokok', 'nya']","['receptionis', 'ramah', 'mamyun', 'mantap', 'pokok', 'nya']",receptionis ramah mamyun mantap pokok nya
kamar bau dan air toilet kecil. very bad,kamar bau dan air toilet kecil very bad,kamar bau dan air toilet kecil very bad,"['kamar', 'bau', 'dan', 'air', 'toilet', 'kecil', 'very', 'bad']","['kamar', 'bau', 'dan', 'air', 'toilet', 'kecil', 'very', 'bad']","['kamar', 'bau', 'air', 'toilet', 'very', 'bad']","['kamar', 'bau', 'air', 'toilet', 'very', 'bad']",kamar bau air toilet very bad
oke lah gak bosen kok cuma kamar sumpek gak ada ventilasi atau exos,oke lah gak bosen kok cuma kamar sumpek gak ada ventilasi atau exos,oke lah gak bosen kok cuma kamar sumpek gak ada ventilasi atau exos,"['oke', 'lah', 'gak', 'bosen', 'kok', 'cuma', 'kamar', 'sumpek', 'gak', 'ada', 'ventilasi', 'atau', 'exos']","['oke', 'lah', 'tidak', 'bosen', 'kok', 'cuma', 'kamar', 'sumpek', 'tidak', 'ada', 'ventilasi', 'atau', 'exos']","['oke', 'bosen', 'kamar', 'sumpek', 'ventilasi', 'exos']","['oke', 'bosen', 'kamar', 'sumpek', 'ventilasi', 'exos']",oke bosen kamar sumpek ventilasi exos
wi-fi ga nyampe ke kamar lantai 6 gambar tv banyak semutnya,wi fi ga nyampe ke kamar lantai gambar tv banyak semutnya,wi fi ga nyampe ke kamar lantai gambar tv banyak semutnya,"['wi', 'fi', 'ga', 'nyampe', 'ke', 'kamar', 'lantai', 'gambar', 'tv', 'banyak', 'semutnya']","['wi', 'fi', 'tidak', 'nyampe', 'ke', 'kamar', 'lantai', 'gambar', 'tv', 'banyak', 'semutnya']","['wi', 'fi', 'nyampe', 'kamar', 'lantai', 'gambar', 'tv', 'semutnya']","['wi', 'fi', 'nyampe', 'kamar', 'lantai', 'gambar', 'tv', 'semut']",wi fi nyampe kamar lantai gambar tv semut
"Hotel Kurang bersih, petugas Hotel jg kurang ramah",Hotel Kurang bersih petugas Hotel jg kurang ramah,hotel kurang bersih petugas hotel jg kurang ramah,"['hotel', 'kurang', 'bersih', 'petugas', 'hotel', 'jg', 'kurang', 'ramah']","['hotel', 'kurang', 'bersih', 'petugas', 'hotel', 'juga', 'kurang', 'ramah']","['hotel', 'bersih', 'petugas', 'hotel', 'ramah']","['hotel', 'bersih', 'tugas', 'hotel', 'ramah']",hotel bersih tugas hotel ramah
"reception kurang ramah, kamar bau asap, dan ada kecoa di kamar mandi",reception kurang ramah kamar bau asap dan ada kecoa di kamar mandi,reception kurang ramah kamar bau asap dan ada kecoa di kamar mandi,"['reception', 'kurang', 'ramah', 'kamar', 'bau', 'asap', 'dan', 'ada', 'kecoa', 'di', 'kamar', 'mandi']","['reception', 'kurang', 'ramah', 'kamar', 'bau', 'asap', 'dan', 'ada', 'kecoa', 'di', 'kamar', 'mandi']","['reception', 'ramah', 'kamar', 'bau', 'asap', 'kecoa', 'kamar', 'mandi']","['reception', 'ramah', 'kamar', 'bau', 'asap', 'kecoa', 'kamar', 'mandi']",reception ramah kamar bau asap kecoa kamar mandi
"Jutek Resepsionist nya, lampu kamar mandi gelap, air payau, lift bau rokok. Over all kalau utk istirahat mayan lah",Jutek Resepsionist nya lampu kamar mandi gelap air payau lift bau rokok Over all kalau utk istirahat mayan lah,jutek resepsionist nya lampu kamar mandi gelap air payau lift bau rokok over all kalau utk istirahat mayan lah,"['jutek', 'resepsionist', 'nya', 'lampu', 'kamar', 'mandi', 'gelap', 'air', 'payau', 'lift', 'bau', 'rokok', 'over', 'all', 'kalau', 'utk', 'istirahat', 'mayan', 'lah']","['jutek', 'resepsionist', 'nya', 'lampu', 'kamar', 'mandi', 'gelap', 'air', 'payau', 'lift', 'bau', 'rokok', 'over', 'all', 'kalau', 'untuk', 'istirahat', 'mayan', 'lah']","['jutek', 'resepsionist', 'nya', 'lampu', 'kamar', 'mandi', 'gelap', 'air', 'payau', 'lift', 'bau', 'rokok', 'over', 'all', 'istirahat', 'mayan']","['jutek', 'resepsionist', 'nya', 'lampu', 'kamar', 'mandi', 'gelap', 'air', 'payau', 'lift', 'bau', 'rokok', 'over', 'all', 'istirahat', 'mayan']",jutek resepsionist nya lampu kamar mandi gelap air payau lift bau rokok over all istirahat mayan
"Check in nyampe sudah larut malam liat resepsionist lagi tidur sambil duduk,terus masuk kamar mau bersihin badan engga ada handuk ditanya ke bag.resepsionist nunggu sekitar 15 menit lebih lalu jawabannya sudah ada dikamar,kalau ada buat apa saya bilang , sekitar jam 2 dini hari tiba-tiba listrik padam ,,cukup kecewa",Check in nyampe sudah larut malam liat resepsionist lagi tidur sambil duduk terus masuk kamar mau bersihin badan engga ada handuk ditanya ke bag resepsionist nunggu sekitar menit lebih lalu jawabannya sudah ada dikamar kalau ada buat apa saya bilang sekitar jam dini hari tiba tiba listrik padam cukup kecewa,check in nyampe sudah larut malam liat resepsionist lagi tidur sambil duduk terus masuk kamar mau bersihin badan engga ada handuk ditanya ke bag resepsionist nunggu sekitar menit lebih lalu jawabannya sudah ada dikamar kalau ada buat apa saya bilang sekitar jam dini hari tiba tiba listrik padam cukup kecewa,"['check', 'in', 'nyampe', 'sudah', 'larut', 'malam', 'liat', 'resepsionist', 'lagi', 'tidur', 'sambil', 'duduk', 'terus', 'masuk', 'kamar', 'mau', 'bersihin', 'badan', 'engga', 'ada', 'handuk', 'ditanya', 'ke', 'bag', 'resepsionist', 'nunggu', 'sekitar', 'menit', 'lebih', 'lalu', 'jawabannya', 'sudah', 'ada', 'dikamar', 'kalau', 'ada', 'buat', 'apa', 'saya', 'bilang', 'sekitar', 'jam', 'dini', 'hari', 'tiba', 'tiba', 'listrik', 'padam', 'cukup', 'kecewa']","['check', 'in', 'nyampe', 'sudah', 'larut', 'malam', 'liat', 'resepsionist', 'lagi', 'tidur', 'sambil', 'duduk', 'terus', 'masuk', 'kamar', 'mau', 'bersihin', 'badan', 'engga', 'ada', 'handuk', 'ditanya', 'ke', 'bag', 'resepsionist', 'nunggu', 'sekitar', 'menit', 'lebih', 'lalu', 'jawabannya', 'sudah', 'ada', 'dikamar', 'kalau', 'ada', 'buat', 'apa', 'saya', 'bilang', 'sekitar', 'jam', 'dini', 'hari', 'tiba', 'tiba', 'listrik', 'padam', 'cukup', 'kecewa']","['check', 'in', 'nyampe', 'larut', 'malam', 'liat', 'resepsionist', 'tidur', 'duduk', 'masuk', 'kamar', 'bersihin', 'badan', 'engga', 'handuk', 'bag', 'resepsionist', 'nunggu', 'menit', 'jawabannya', 'dikamar', 'jam', 'listrik', 'padam', 'kecewa']","['check', 'in', 'nyampe', 'larut', 'malam', 'liat', 'resepsionist', 'tidur', 'duduk', 'masuk', 'kamar', 'bersihin', 'badan', 'engga', 'handuk', 'bag', 'resepsionist', 'nunggu', 'menit', 'jawab', 'kamar', 'jam', 'listrik', 'padam', 'kecewa']",check in nyampe larut malam liat resepsionist tidur duduk masuk kamar bersihin badan engga handuk bag resepsionist nunggu menit jawab kamar jam listrik padam kecewa
"Bed nya kotor banyak debu,Water warmnya tidak berfungsi. Lokasi yang tidak strategis dan menyatu den",Bed nya kotor banyak debu Water warmnya tidak berfungsi Lokasi yang tidak strategis dan menyatu den,bed nya kotor banyak debu water warmnya tidak berfungsi lokasi yang tidak strategis dan menyatu den,"['bed', 'nya', 'kotor', 'banyak', 'debu', 'water', 'warmnya', 'tidak', 'berfungsi', 'lokasi', 'yang', 'tidak', 'strategis', 'dan', 'menyatu', 'den']","['bed', 'nya', 'kotor', 'banyak', 'debu', 'water', 'warmnya', 'tidak', 'berfungsi', 'lokasi', 'yang', 'tidak', 'strategis', 'dan', 'menyatu', 'den']","['bed', 'nya', 'kotor', 'debu', 'water', 'warmnya', 'berfungsi', 'lokasi', 'strategis', 'menyatu', 'den']","['bed', 'nya', 'kotor', 'debu', 'water', 'warmnya', 'fungsi', 'lokasi', 'strategis', 'satu', 'den']",bed nya kotor debu water warmnya fungsi lokasi strategis satu den
"tempatnya sempurna, pas didepan Pantai Losari, namun sayang ACnya Kurang Dingin padahal sdh lapor namun tetep tidak bisa dingin",tempatnya sempurna pas didepan Pantai Losari namun sayang ACnya Kurang Dingin padahal sdh lapor namun tetep tidak bisa dingin,tempatnya sempurna pas didepan pantai losari namun sayang acnya kurang dingin padahal sdh lapor namun tetep tidak bisa dingin,"['tempatnya', 'sempurna', 'pas', 'didepan', 'pantai', 'losari', 'namun', 'sayang', 'acnya', 'kurang', 'dingin', 'padahal', 'sdh', 'lapor', 'namun', 'tetep', 'tidak', 'bisa', 'dingin']","['tempatnya', 'sempurna', 'pas', 'didepan', 'pantai', 'losari', 'namun', 'sayang', 'acnya', 'kurang', 'dingin', 'padahal', 'sdh', 'lapor', 'namun', 'tetep', 'tidak', 'bisa', 'dingin']","['tempatnya', 'sempurna', 'pas', 'didepan', 'pantai', 'losari', 'sayang', 'acnya', 'dingin', 'lapor', 'tetep', 'dingin']","['tempat', 'sempurna', 'pas', 'depan', 'pantai', 'losari', 'sayang', 'acnya', 'dingin', 'lapor', 'tetep', 'dingin']",tempat sempurna pas depan pantai losari sayang acnya dingin lapor tetep dingin
